id,letnik,znamka,tip,prostornina,moc,km,cena
237662642,2006,Hyosung,Chopper And Cruiser,650,52,16000,2999
237662642,2006,Hyosung,Chopper And Cruiser,647,59,3945,2999
229082730,2006,Yamaha,Chopper And Cruiser,1100,48,54000,3800
231224244,2006,Harley-Davidson,Chopper And Cruiser,1800,85,4500,24500
222950115,2006,Yamaha,Chopper And Cruiser,1100,46,17999,7999
225817200,2006,Harley-Davidson,Chopper And Cruiser,1584,52,33000,15000
228779020,2006,Yamaha,Chopper And Cruiser,649,29,34707,3960
228779020,2006,Suzuki,Chopper And Cruiser,805,39,20500,4000
234863525,2006,Yamaha,Chopper And Cruiser,649,29,13875,4250
226286198,2006,Honda,Chopper And Cruiser,750,33,40000,4400
232424927,2006,Honda,Chopper And Cruiser,745,33,17730,4490
232424927,2006,Yamaha,Chopper And Cruiser,650,29,27000,4499
236091465,2006,Suzuki,Chopper And Cruiser,805,39,13500,4500
237445103,2006,Yamaha,Chopper And Cruiser,650,29,21175,4650
237445103,2006,Suzuki,Chopper And Cruiser,805,39,29600,4789
227144419,2006,Yamaha,Chopper And Cruiser,649,29,17157,4799
222710389,2006,Kawasaki,Chopper And Cruiser,903,37,37199,4890
237492334,2006,Suzuki,Chopper And Cruiser,805,39,24000,4900
237492334,2006,Suzuki,Chopper And Cruiser,805,39,10200,4980
236395402,2006,Yamaha,Chopper And Cruiser,650,29,13712,4990
237536852,2006,Kawasaki,Chopper And Cruiser,900,37,18900,4990
235451809,2006,Kawasaki,Chopper And Cruiser,903,37,16651,4990
233315834,2006,Suzuki,Chopper And Cruiser,805,39,9100,4995
237029713,2006,Kawasaki,Chopper And Cruiser,900,37,8000,4999
237029713,2006,Kawasaki,Chopper And Cruiser,903,37,52000,5000
234928174,2006,Kawasaki,Chopper And Cruiser,900,37,14500,5100
234899860,2006,Yamaha,Chopper And Cruiser,1100,46,60839,5150
237409456,2006,Yamaha,Chopper And Cruiser,649,36,21250,5300
236451293,2006,Suzuki,Chopper And Cruiser,805,39,17901,5350
237240640,2006,Yamaha,Chopper And Cruiser,649,29,19909,5490
236481493,2006,Suzuki,Chopper And Cruiser,800,38,10000,5500
236481493,2006,Yamaha,Chopper And Cruiser,649,29,10048,5500
228206038,2006,Kawasaki,Chopper And Cruiser,900,37,10150,5590
224065252,2006,Suzuki,Chopper And Cruiser,805,39,10300,5700
224065252,2006,Suzuki,Chopper And Cruiser,805,39,23870,5800
235498391,2006,Kawasaki,Chopper And Cruiser,900,37,24200,5800
231194291,2006,Yamaha,Chopper And Cruiser,1100,46,18297,5890
233572405,2006,Kawasaki,Chopper And Cruiser,900,37,33050,5899
233572405,2006,Yamaha,Chopper And Cruiser,649,29,32225,5900
237615118,2006,Buell,Chopper And Cruiser,1200,75,40500,5990
233619317,2006,Yamaha,Chopper And Cruiser,650,29,12500,5990
228890262,2006,Yamaha,Chopper And Cruiser,1100,46,10900,5990
226742561,2006,Suzuki,Chopper And Cruiser,800,39,11690,5999
230643452,2006,Suzuki,Chopper And Cruiser,800,39,5300,5999
230643452,2006,Yamaha,Chopper And Cruiser,1063,46,36560,6000
234917340,2006,Kawasaki,Chopper And Cruiser,1553,49,74000,6000
232622790,2006,Kawasaki,Chopper And Cruiser,1470,47,43840,6250
234975628,2006,Yamaha,Chopper And Cruiser,1063,46,30841,6290
213514443,2006,Harley-Davidson,Chopper And Cruiser,883,40,6946,6370
237365112,2006,Yamaha,Chopper And Cruiser,1063,46,5002,6490
228530272,2006,Suzuki,Chopper And Cruiser,805,39,24500,6490
228530272,2006,Harley-Davidson,Chopper And Cruiser,1200,49,65000,6500
235865651,2006,Yamaha,Chopper And Cruiser,1063,46,9655,6666
232427314,2006,Harley-Davidson,Chopper And Cruiser,883,40,20275,6790
232427314,2006,Suzuki,Chopper And Cruiser,1462,48,32203,6980
237527970,2006,Suzuki,Chopper And Cruiser,1462,48,22239,6980
229899479,2006,Suzuki,Chopper And Cruiser,1462,49,21700,6990
229899479,2006,Harley-Davidson,Chopper And Cruiser,883,43,15500,7200
233073559,2006,Suzuki,Chopper And Cruiser,1800,92,26600,7250
235049966,2006,Suzuki,Chopper And Cruiser,1500,49,16900,7490
234128390,2006,Harley-Davidson,Chopper And Cruiser,1202,49,18638,7490
236003734,2006,Harley-Davidson,Chopper And Cruiser,1202,49,18800,7500
222402942,2006,Harley-Davidson,Chopper And Cruiser,1131,89,15890,7600
237171995,2006,Honda,Chopper And Cruiser,1312,55,17200,7690
230866670,2006,Yamaha,Chopper And Cruiser,1670,63,33400,7690
230514118,2006,Honda,Chopper And Cruiser,1312,55,9800,7690
226431197,2006,Yamaha,Chopper And Cruiser,1854,66,35560,7750
232911310,2006,Harley-Davidson,Chopper And Cruiser,1202,49,34730,7777
232911310,2006,Harley-Davidson,Chopper And Cruiser,883,40,28827,7790
236846794,2006,Suzuki,Chopper And Cruiser,1800,92,24300,7899
237655355,2006,Suzuki,Chopper And Cruiser,1600,54,10000,7900
237655355,2006,Yamaha,Chopper And Cruiser,1700,63,48000,7900
234331870,2006,Yamaha,Chopper And Cruiser,1100,46,26500,7900
233159968,2006,Yamaha,Chopper And Cruiser,1700,63,15263,7900
236049202,2006,Harley-Davidson,Chopper And Cruiser,1200,49,8669,7990
236049202,2006,Kawasaki,Chopper And Cruiser,1600,49,22000,7990
234547473,2006,Harley-Davidson,Chopper And Cruiser,1202,49,13700,7990
231529615,2006,Harley-Davidson,Chopper And Cruiser,1200,49,5500,7990
226930752,2006,Harley-Davidson,Chopper And Cruiser,1200,49,12568,7990
225643440,2006,Yamaha,Chopper And Cruiser,1854,66,30500,7999
232787881,2006,Harley-Davidson,Chopper And Cruiser,1200,49,30000,7999
232787881,2006,Yamaha,Chopper And Cruiser,1100,46,17999,7999
222950115,2006,Yamaha,Chopper And Cruiser,1900,74,30000,8000
236534094,2006,Suzuki,Chopper And Cruiser,1783,90,13000,8100
237306256,2006,Harley-Davidson,Chopper And Cruiser,883,40,26378,8200
236466444,2006,Yamaha,Chopper And Cruiser,1095,46,29759,8300
